,Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,dailyTotal,avgDaily,data_date
57,Flinders La-Swanston St (West) Temporary,124,54,39,37,77,163,394,1060,1947,1743,1915,2381,2981,3262,3052,3232,3694,4252,3730,2807,2386,2181,1666,1211,44388,1849.5,2/08/2019
58,RMIT Building 14,90,47,17,9,14,24,106,319,932,1003,1241,1113,1826,1577,1582,1388,1560,1719,1334,854,736,586,433,238,18748,781.1666667,2/08/2019
59,380 Elizabeth St,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
60,La Trobe St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
61,231 Bourke St,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
62,Royal Pde - Grattan St,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
63,Swanston St - City Square,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
64,State Library - New,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
65,Flinders Ln - Degraves St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
66,Flinders Ln - Degraves St (North),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
67,Flinders Ln - Degraves St (Crossing),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
68,Errol Street (East),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
69,Westwood Place,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
70,Flinders St - ACMI,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
71,Bourke St - Spencer St (South),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
72,Spring St - Flinders St (West),,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
73,Macaulay Rd - Bellair St,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
74,Harbour Esplanade - Pedestrian Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
75,Harbour Esplanade - Bike Path,,,,,,,,,,,,,,,,,,,,,,,,,0,,2/08/2019
0,Bourke Street Mall (North),198,171,141,96,69,55,69,88,303,719,1548,2527,3265,3637,3747,3875,3991,3615,2797,1957,1188,590,512,412,35570,1482.083333,3/08/2019
1,Bourke Street Mall (South),87,94,62,35,27,29,63,46,122,413,1088,1557,1950,2102,2178,2502,2057,1675,904,419,364,278,229,153,18434,768.0833333,3/08/2019
2,Melbourne Central,868,573,353,310,146,139,88,224,327,523,782,1397,2064,2563,2643,2964,2806,3026,3202,3380,3049,2137,1840,1289,36693,1528.875,3/08/2019
3,Town Hall (West),497,384,252,189,106,107,76,155,301,708,1640,2324,2954,3113,3155,3731,3205,3117,2646,2065,1782,1672,1319,1028,36526,1521.916667,3/08/2019
4,Princes Bridge,397,300,115,97,104,87,84,221,388,744,1318,1847,2449,2746,2531,2429,3110,2937,2676,2157,1461,1630,1651,817,32296,1345.666667,3/08/2019
5,Flinders Street Station Underpass,573,360,204,162,162,112,235,506,617,780,1208,1446,1579,1555,1979,2011,2152,2168,2110,1574,1575,1076,1141,994,26279,1094.958333,3/08/2019
6,Birrarung Marr,27,32,14,11,,9,69,104,128,129,150,201,229,374,388,307,397,1166,1391,489,214,346,1754,107,8036,349.3913043,3/08/2019
7,Webb Bridge,30,17,28,4,2,14,28,71,97,161,222,275,341,293,273,320,394,301,230,127,79,45,65,51,3468,144.5,3/08/2019
8,Southern Cross Station,37,39,25,19,3,15,38,71,121,157,150,247,294,250,230,176,337,204,230,111,87,61,84,44,3030,126.25,3/08/2019
9,Victoria Point,26,29,6,17,5,18,9,26,74,119,138,132,168,172,111,138,222,180,121,82,61,40,67,34,1995,83.125,3/08/2019
10,Waterfront City,18,9,11,7,5,3,2,14,26,45,43,82,80,49,47,84,120,84,91,90,44,6,24,11,995,41.45833333,3/08/2019
11,New Quay,72,28,18,17,4,16,23,42,110,197,232,374,740,897,307,369,1148,530,491,408,332,67,144,82,6648,277,3/08/2019
12,Flagstaff Station,,,,,,,,,,,,,,,,,,,,,,,,,0,,3/08/2019
13,Sandridge Bridge,310,219,125,111,85,79,116,149,219,290,446,519,548,484,782,784,785,849,939,678,611,342,568,544,10582,440.9166667,3/08/2019
14,State Library,338,208,100,79,38,74,43,91,180,361,549,823,1298,1598,2009,2053,2098,2076,1903,1893,1580,976,770,501,21639,901.625,3/08/2019
15,Collins St (North),183,77,62,34,30,20,62,99,283,597,922,1227,1359,1430,1409,1603,1395,1164,768,549,426,271,265,171,14406,600.25,3/08/2019
16,Collins Place (South),80,63,22,19,9,33,69,90,107,189,283,285,381,353,355,439,377,533,558,414,421,253,300,232,5865,244.375,3/08/2019
17,Collins Place (North),52,24,10,3,4,8,30,47,81,109,177,165,178,221,173,220,199,230,196,157,94,63,88,94,2623,109.2916667,3/08/2019
18,Chinatown-Swanston St (North),410,272,189,90,43,50,19,61,131,196,359,651,1174,1369,1194,1327,1279,1578,1625,1780,1482,916,864,700,17759,739.9583333,3/08/2019
19,Chinatown-Lt Bourke St (South),348,285,202,72,59,57,25,86,65,124,245,510,791,1029,736,659,654,1053,1273,1397,1232,767,837,990,13496,562.3333333,3/08/2019
20,Bourke St-Russell St (West),644,538,350,329,198,126,93,110,100,194,420,735,952,1289,1123,1290,1299,1358,1480,1432,1297,1061,1031,781,18230,759.5833333,3/08/2019
21,Flinders St-Elizabeth St (East),875,553,349,309,169,174,251,434,892,1261,1598,2101,2563,2737,2742,3092,3134,3295,2895,2475,2004,1416,1547,1186,38052,1585.5,3/08/2019
22,Spencer St-Collins St (South),92,27,29,26,15,15,55,37,165,293,286,287,327,296,350,378,451,445,358,273,235,219,213,178,5050,210.4166667,3/08/2019
23,Spencer St-Collins St (North),366,197,98,94,64,88,284,483,796,985,1367,1566,1850,1931,1376,1522,2306,1786,1333,941,804,753,838,625,22453,935.5416667,3/08/2019
24,Melbourne Convention Exhibition Centre,142,117,59,34,19,20,98,247,753,820,998,1300,1296,1289,2076,1858,1823,1930,1946,1309,839,374,489,1264,21100,879.1666667,3/08/2019
25,QV Market-Elizabeth St (West),213,161,125,84,83,99,125,222,574,960,1339,1473,1776,1855,1704,1450,755,670,746,685,628,370,366,293,16756,698.1666667,3/08/2019
26,QV Market-Peel St,37,26,28,17,7,11,26,53,142,219,340,333,417,454,428,316,244,232,138,169,141,134,131,87,4130,172.0833333,3/08/2019
27,The Arts Centre,134,61,39,59,42,68,66,131,277,605,1114,1699,2229,2876,2066,2014,2793,1765,1842,1792,519,1362,1027,316,24896,1037.333333,3/08/2019
